,act,pred,r2_score,adjusted_r2_score
0,340000.0,493165.58776542457,0.8078409307306884,0.804554871968474
1,937750.0,752877.1915830472,0.8078409307306884,0.804554871968474
2,725126.0,769337.5642003067,0.8078409307306884,0.804554871968474
3,135000.0,116357.24371698053,0.8078409307306884,0.804554871968474
4,635000.0,647642.7133151575,0.8078409307306884,0.804554871968474
5,245500.0,215572.88717636134,0.8078409307306884,0.804554871968474
6,230000.0,332834.57851502736,0.8078409307306884,0.804554871968474
7,1770000.0,1377169.5833098562,0.8078409307306884,0.804554871968474
8,425000.0,459820.29037405015,0.8078409307306884,0.804554871968474
9,220000.0,334943.04416749964,0.8078409307306884,0.804554871968474
10,370000.0,439558.1329766797,0.8078409307306884,0.804554871968474
11,390000.0,395936.5989854231,0.8078409307306884,0.804554871968474
12,239000.0,200826.55797344004,0.8078409307306884,0.804554871968474
13,345000.0,371946.87430198304,0.8078409307306884,0.804554871968474
14,289000.0,333000.1479513177,0.8078409307306884,0.804554871968474
15,285000.0,251259.23404900602,0.8078409307306884,0.804554871968474
16,147400.0,237409.55239792465,0.8078409307306884,0.804554871968474
17,600000.0,802734.1137921131,0.8078409307306884,0.804554871968474
18,245000.0,333040.7751972806,0.8078409307306884,0.804554871968474
19,520000.0,333040.7751972806,0.8078409307306884,0.804554871968474
20,352500.0,381397.84794975625,0.8078409307306884,0.804554871968474
21,448000.0,682306.2005480507,0.8078409307306884,0.804554871968474
22,270000.0,311393.98325705377,0.8078409307306884,0.804554871968474
23,872500.0,835445.101881685,0.8078409307306884,0.804554871968474
24,2152500.0,1348882.0377548826,0.8078409307306884,0.804554871968474
25,225000.0,273549.76091560954,0.8078409307306884,0.804554871968474
26,735000.0,843326.2347198091,0.8078409307306884,0.804554871968474
27,375000.0,361478.70320839307,0.8078409307306884,0.804554871968474
28,169000.0,245507.01265864843,0.8078409307306884,0.804554871968474
29,279950.0,245507.01265864843,0.8078409307306884,0.804554871968474
30,1950000.0,1806814.908132651,0.8078409307306884,0.804554871968474
31,310000.0,421887.348692794,0.8078409307306884,0.804554871968474
32,975000.0,910354.007529935,0.8078409307306884,0.804554871968474
33,650000.0,266697.09832145507,0.8078409307306884,0.804554871968474
34,930000.0,864587.434317626,0.8078409307306884,0.804554871968474
35,412000.0,366531.23597127345,0.8078409307306884,0.804554871968474
36,225000.0,171830.2202721124,0.8078409307306884,0.804554871968474
37,507000.0,483220.50072529615,0.8078409307306884,0.804554871968474
